project_type,size_sqm,num_workers,location,materials,complexity,duration_days,project_type_encoded,location_encoded,materials_encoded
renovation,76.8,10,urban,standard,2,2,3,2,2
house,144.9,9,suburban,standard,1,9,1,1,2
renovation,68.6,1,rural,standard,2,9,3,0,2
landscaping,214.3,8,urban,basic,2,6,2,2,0
landscaping,331.6,8,rural,standard,3,15,2,0,2
commercial,594.4,2,rural,premium,2,230,0,0,1
renovation,55.7,5,rural,premium,4,6,3,0,1
renovation,33.2,4,rural,basic,1,2,3,0,0
landscaping,176.2,4,suburban,premium,2,15,2,1,1
commercial,195.4,4,urban,premium,2,30,0,2,1
landscaping,88.1,6,suburban,premium,5,8,2,1,1
renovation,115.7,8,suburban,premium,1,5,3,1,1
commercial,659.5,6,rural,premium,1,112,0,0,1
renovation,97.0,8,suburban,premium,2,6,3,1,1
commercial,387.1,3,urban,basic,4,68,0,2,0
house,199.4,6,urban,premium,5,40,1,2,1
renovation,163.5,1,rural,premium,2,25,3,0,1
landscaping,280.5,1,suburban,basic,5,35,2,1,0
house,113.8,7,urban,basic,3,14,1,2,0
renovation,93.5,2,rural,basic,5,16,3,0,0
landscaping,159.3,1,rural,basic,4,18,2,0,0
landscaping,152.4,3,urban,premium,5,17,2,2,1
house,164.5,4,urban,premium,1,25,1,2,1
house,125.0,8,suburban,basic,3,15,1,1,0
house,150.9,9,suburban,basic,1,11,1,1,0
house,112.6,8,rural,premium,3,18,1,0,1
commercial,533.0,8,rural,standard,2,79,0,0,2
landscaping,250.6,7,rural,premium,3,23,2,0,1
landscaping,266.3,7,urban,standard,1,8,2,2,2
renovation,94.4,1,suburban,standard,5,20,3,1,2
commercial,446.0,8,rural,basic,5,73,0,0,0
house,193.5,3,rural,basic,4,48,1,0,0
landscaping,294.6,10,suburban,premium,2,12,2,1,1
renovation,85.4,9,rural,standard,1,5,3,0,2
commercial,543.4,10,rural,basic,1,51,0,0,0
landscaping,149.8,4,rural,standard,1,6,2,0,2
house,276.9,5,rural,standard,1,31,1,0,2
house,99.4,9,urban,standard,2,5,1,2,2
commercial,188.9,1,suburban,standard,3,42,0,1,2
commercial,594.3,4,rural,premium,5,179,0,0,1
landscaping,142.5,10,urban,basic,4,5,2,2,0
renovation,71.9,8,urban,basic,1,2,3,2,0
commercial,227.5,8,urban,basic,3,18,0,2,0
renovation,37.0,8,suburban,basic,3,2,3,1,0
renovation,87.0,6,urban,standard,4,7,3,2,2
house,91.1,1,suburban,standard,5,35,1,1,2
commercial,218.5,2,rural,premium,4,94,0,0,1
house,174.3,8,rural,premium,1,17,1,0,1
house,186.1,8,rural,premium,1,17,1,0,1
commercial,528.6,8,urban,premium,2,80,0,2,1
commercial,427.8,5,suburban,standard,5,112,0,1,2
renovation,29.9,2,rural,premium,1,4,3,0,1
commercial,359.1,7,urban,premium,4,55,0,2,1
landscaping,299.7,2,urban,basic,5,17,2,2,0
landscaping,156.4,10,rural,standard,3,7,2,0,2
renovation,148.4,9,rural,basic,2,4,3,0,0
house,180.9,4,urban,premium,2,21,1,2,1
renovation,113.1,6,urban,basic,2,6,3,2,0
landscaping,69.6,1,urban,standard,5,10,2,2,2
house,121.9,6,suburban,standard,5,20,1,1,2
commercial,551.2,9,urban,premium,5,123,0,2,1
commercial,435.3,10,suburban,basic,2,46,0,1,0
landscaping,182.0,4,suburban,premium,1,11,2,1,1
commercial,474.5,8,rural,premium,5,142,0,0,1
landscaping,153.9,2,urban,standard,1,8,2,2,2
renovation,42.0,1,suburban,basic,1,3,3,1,0
house,110.2,2,rural,standard,5,35,1,0,2
landscaping,278.9,1,rural,standard,5,46,2,0,2
house,84.0,8,suburban,basic,3,7,1,1,0
landscaping,264.4,6,rural,basic,1,10,2,0,0
renovation,71.5,10,urban,premium,2,3,3,2,1
landscaping,221.7,10,rural,basic,5,9,2,0,0
commercial,492.1,4,urban,premium,3,121,0,2,1
renovation,120.4,8,rural,standard,3,9,3,0,2
landscaping,206.4,10,urban,standard,4,9,2,2,2
commercial,908.5,2,rural,basic,1,194,0,0,0
landscaping,182.6,3,urban,standard,2,10,2,2,2
renovation,82.5,3,suburban,premium,3,11,3,1,1
commercial,396.5,5,suburban,basic,4,85,0,1,0
house,127.7,7,rural,basic,4,21,1,0,0
house,149.6,8,urban,standard,2,11,1,2,2
landscaping,72.7,5,suburban,standard,1,3,2,1,2
commercial,285.9,10,urban,basic,5,40,0,2,0
house,163.7,8,urban,premium,3,19,1,2,1
renovation,115.0,10,urban,standard,3,6,3,2,2
renovation,94.1,6,urban,standard,1,4,3,2,2
house,65.0,3,rural,standard,2,11,1,0,2
renovation,90.3,6,suburban,basic,5,6,3,1,0
landscaping,189.4,8,urban,premium,3,10,2,2,1
commercial,486.2,9,urban,basic,5,64,0,2,0
commercial,150.3,8,rural,standard,3,20,0,0,2
house,124.1,1,suburban,standard,2,31,1,1,2
landscaping,296.5,8,urban,standard,2,10,2,2,2
landscaping,246.7,3,rural,basic,4,19,2,0,0
house,126.8,9,rural,premium,5,21,1,0,1
renovation,60.5,10,rural,premium,1,3,3,0,1
commercial,545.9,2,rural,premium,4,259,0,0,1
renovation,73.2,1,suburban,basic,1,7,3,1,0
house,182.3,3,rural,standard,3,48,1,0,2
renovation,115.6,5,rural,standard,5,12,3,0,2
renovation,94.7,1,suburban,premium,2,14,3,1,1
renovation,65.6,2,urban,standard,5,9,3,2,2
landscaping,63.6,1,rural,premium,3,14,2,0,1
commercial,159.8,4,suburban,premium,1,25,0,1,1
commercial,588.0,4,urban,basic,2,70,0,2,0
commercial,586.2,5,suburban,standard,3,103,0,1,2
landscaping,271.8,2,suburban,premium,5,36,2,1,1
commercial,600.5,8,urban,basic,4,95,0,2,0
renovation,128.8,7,urban,basic,3,4,3,2,0
house,212.5,9,urban,standard,1,13,1,2,2
renovation,62.8,6,urban,standard,5,4,3,2,2
house,248.1,2,suburban,premium,3,61,1,1,1
house,197.0,9,urban,basic,1,12,1,2,0
landscaping,199.7,6,urban,standard,4,8,2,2,2
landscaping,205.0,9,urban,standard,5,8,2,2,2
renovation,74.6,2,urban,basic,2,5,3,2,0
renovation,90.6,3,suburban,standard,3,8,3,1,2
renovation,124.3,9,urban,standard,2,6,3,2,2
landscaping,241.4,7,suburban,standard,3,12,2,1,2
landscaping,191.9,9,suburban,standard,4,10,2,1,2
renovation,99.5,9,suburban,premium,5,11,3,1,1
commercial,604.6,7,suburban,premium,3,103,0,1,1
landscaping,125.3,8,suburban,standard,1,4,2,1,2
commercial,226.1,6,rural,standard,1,27,0,0,2
commercial,481.6,8,urban,standard,4,73,0,2,2
house,161.2,4,suburban,standard,2,22,1,1,2
house,215.8,7,suburban,standard,2,21,1,1,2
commercial,795.3,1,rural,standard,3,438,0,0,2
renovation,38.4,2,suburban,premium,5,9,3,1,1
house,105.3,8,suburban,basic,1,6,1,1,0
landscaping,171.0,9,suburban,premium,4,8,2,1,1
renovation,80.5,8,rural,basic,4,5,3,0,0
house,171.7,6,rural,premium,2,25,1,0,1
house,141.8,8,suburban,standard,3,12,1,1,2
landscaping,172.1,9,urban,basic,3,5,2,2,0
house,224.7,8,rural,basic,4,29,1,0,0
landscaping,326.7,4,rural,premium,2,33,2,0,1
renovation,101.8,1,suburban,basic,3,14,3,1,0
renovation,131.5,4,urban,basic,5,12,3,2,0
renovation,82.0,8,rural,premium,3,7,3,0,1
renovation,113.2,10,rural,standard,4,6,3,0,2
commercial,555.3,6,suburban,basic,5,92,0,1,0
commercial,674.0,10,suburban,premium,3,113,0,1,1
renovation,100.1,8,suburban,standard,1,3,3,1,2
landscaping,288.4,3,rural,basic,5,32,2,0,0
landscaping,224.2,2,urban,basic,1,9,2,2,0
house,166.1,9,urban,basic,3,14,1,2,0
landscaping,272.1,9,suburban,basic,3,9,2,1,0
house,156.0,9,rural,basic,5,18,1,0,0
commercial,818.9,9,urban,standard,1,56,0,2,2
house,232.1,10,urban,premium,2,24,1,2,1
renovation,98.7,2,urban,premium,4,14,3,2,1
house,68.5,4,urban,standard,3,9,1,2,2
landscaping,268.4,5,rural,standard,3,19,2,0,2
commercial,449.5,3,rural,basic,4,131,0,0,0
house,126.7,4,urban,standard,5,20,1,2,2
landscaping,204.6,8,suburban,premium,2,10,2,1,1
landscaping,225.3,10,suburban,standard,1,6,2,1,2
renovation,50.9,7,rural,premium,1,3,3,0,1
renovation,75.7,6,urban,standard,1,3,3,2,2
landscaping,219.8,9,urban,standard,2,8,2,2,2
house,126.9,10,rural,standard,1,8,1,0,2
renovation,112.1,4,rural,basic,4,9,3,0,0
commercial,547.9,1,suburban,basic,2,139,0,1,0
house,181.7,7,rural,basic,5,30,1,0,0
house,211.2,10,suburban,basic,1,15,1,1,0
renovation,100.0,2,urban,basic,3,7,3,2,0
renovation,109.3,7,suburban,basic,4,8,3,1,0
renovation,100.4,4,rural,standard,5,12,3,0,2
house,95.0,9,rural,basic,4,10,1,0,0
house,124.0,5,urban,standard,2,12,1,2,2
commercial,228.5,2,suburban,basic,4,62,0,1,0
renovation,79.6,4,suburban,basic,4,6,3,1,0
renovation,119.3,7,urban,basic,2,5,3,2,0
renovation,20.0,7,suburban,basic,4,1,3,1,0
commercial,673.1,1,suburban,basic,1,176,0,1,0
renovation,104.4,1,urban,standard,5,17,3,2,2
landscaping,145.4,9,suburban,standard,5,6,2,1,2
renovation,24.9,4,rural,basic,2,2,3,0,0
landscaping,235.9,6,suburban,premium,4,15,2,1,1
house,194.3,3,suburban,premium,2,23,1,1,1
renovation,69.2,9,suburban,standard,5,4,3,1,2
commercial,292.7,4,suburban,premium,2,73,0,1,1
landscaping,142.2,1,suburban,basic,4,24,2,1,0
commercial,778.0,4,suburban,basic,3,144,0,1,0
commercial,425.7,8,urban,standard,5,58,0,2,2
renovation,81.7,4,urban,premium,2,7,3,2,1
house,67.2,3,rural,standard,5,21,1,0,2
commercial,484.2,2,suburban,standard,5,133,0,1,2
commercial,253.8,5,rural,basic,1,31,0,0,0
landscaping,224.2,1,suburban,standard,4,27,2,1,2
landscaping,141.4,4,rural,basic,4,9,2,0,0
landscaping,270.2,3,suburban,premium,3,25,2,1,1
landscaping,167.5,5,suburban,standard,2,6,2,1,2
renovation,63.6,7,rural,basic,5,5,3,0,0
house,170.8,5,urban,basic,2,17,1,2,0
house,156.0,5,urban,basic,4,16,1,2,0
landscaping,104.6,4,rural,basic,4,7,2,0,0
renovation,110.4,10,rural,basic,5,8,3,0,0
renovation,114.3,1,urban,basic,2,10,3,2,0
renovation,79.4,8,suburban,basic,3,5,3,1,0
renovation,76.3,3,urban,premium,5,12,3,2,1
landscaping,181.7,9,urban,premium,3,8,2,2,1
house,82.6,4,urban,premium,3,12,1,2,1
commercial,737.1,10,rural,premium,4,177,0,0,1
house,139.4,9,rural,basic,2,12,1,0,0
commercial,791.1,2,suburban,premium,3,351,0,1,1
renovation,48.7,10,rural,basic,1,1,3,0,0
renovation,86.3,3,suburban,standard,1,6,3,1,2
landscaping,103.0,7,urban,premium,1,4,2,2,1
landscaping,267.0,5,urban,premium,4,16,2,2,1
landscaping,133.7,2,rural,standard,2,12,2,0,2
house,90.2,6,urban,premium,3,12,1,2,1
house,55.0,3,urban,basic,5,10,1,2,0
renovation,74.6,8,rural,premium,2,6,3,0,1
renovation,69.3,3,urban,basic,2,5,3,2,0
renovation,130.1,7,rural,basic,3,9,3,0,0
commercial,637.3,4,suburban,basic,2,61,0,1,0
renovation,104.8,4,suburban,standard,3,9,3,1,2
landscaping,257.8,5,rural,premium,2,16,2,0,1
landscaping,296.9,6,rural,basic,3,16,2,0,0
renovation,130.4,5,urban,standard,2,6,3,2,2
renovation,36.7,7,suburban,basic,4,2,3,1,0
house,156.3,7,suburban,premium,4,23,1,1,1
landscaping,328.5,3,suburban,standard,1,18,2,1,2
commercial,466.0,10,suburban,premium,5,89,0,1,1
commercial,413.6,7,rural,basic,1,38,0,0,0
renovation,125.4,9,rural,basic,4,9,3,0,0
renovation,135.9,6,urban,basic,4,7,3,2,0
commercial,571.2,3,rural,basic,5,179,0,0,0
commercial,394.4,1,urban,standard,3,151,0,2,2
house,120.8,5,rural,basic,4,16,1,0,0
house,157.8,10,urban,standard,4,16,1,2,2
renovation,20.0,9,rural,premium,4,2,3,0,1
renovation,66.1,9,urban,standard,4,3,3,2,2
landscaping,121.9,3,urban,basic,4,7,2,2,0
renovation,114.8,6,suburban,standard,4,8,3,1,2
house,155.1,1,urban,premium,3,43,1,2,1
commercial,657.4,4,suburban,premium,5,185,0,1,1
renovation,103.8,10,suburban,standard,5,5,3,1,2
landscaping,224.6,9,urban,premium,5,13,2,2,1
house,119.6,9,urban,standard,1,9,1,2,2
house,171.4,9,urban,basic,1,10,1,2,0
house,177.6,10,suburban,standard,5,20,1,1,2
house,171.8,2,suburban,standard,3,39,1,1,2
house,197.2,6,rural,standard,4,29,1,0,2
commercial,370.8,4,suburban,premium,2,68,0,1,1
commercial,305.2,9,suburban,standard,2,35,0,1,2
landscaping,270.6,1,suburban,basic,2,23,2,1,0
landscaping,135.7,2,rural,standard,3,9,2,0,2
commercial,394.5,8,urban,premium,4,66,0,2,1
landscaping,295.1,8,urban,basic,2,9,2,2,0
renovation,105.0,3,suburban,standard,3,9,3,1,2
renovation,70.0,8,rural,standard,5,6,3,0,2
landscaping,365.0,6,rural,basic,3,15,2,0,0
landscaping,241.7,7,urban,premium,5,16,2,2,1
house,169.5,3,suburban,basic,1,15,1,1,0
landscaping,158.1,3,urban,standard,5,10,2,2,2
landscaping,213.5,3,urban,basic,4,16,2,2,0
landscaping,222.1,9,urban,premium,5,14,2,2,1
landscaping,160.1,10,suburban,standard,5,9,2,1,2
landscaping,152.1,2,suburban,standard,1,10,2,1,2
commercial,652.7,6,rural,standard,1,99,0,0,2
house,151.9,4,rural,standard,5,35,1,0,2
landscaping,126.1,4,suburban,standard,4,9,2,1,2
house,138.8,10,rural,premium,1,12,1,0,1
commercial,705.7,4,suburban,premium,4,162,0,1,1
house,181.7,2,rural,basic,3,46,1,0,0
house,72.0,4,suburban,premium,5,14,1,1,1
landscaping,304.6,4,suburban,premium,1,15,2,1,1
house,177.0,4,suburban,standard,5,38,1,1,2
commercial,908.3,9,suburban,premium,4,198,0,1,1
commercial,423.9,4,rural,standard,1,63,0,0,2
renovation,23.4,5,urban,basic,3,1,3,2,0
house,197.5,9,rural,standard,5,37,1,0,2
renovation,31.2,2,urban,standard,5,4,3,2,2
commercial,338.4,1,urban,basic,5,122,0,2,0
house,94.0,3,urban,basic,2,10,1,2,0
landscaping,329.0,4,urban,standard,1,14,2,2,2
house,101.7,6,rural,premium,4,21,1,0,1
house,105.2,7,rural,standard,1,8,1,0,2
house,144.7,1,rural,standard,5,63,1,0,2
landscaping,184.4,10,suburban,standard,1,5,2,1,2
house,79.7,3,urban,basic,5,14,1,2,0
landscaping,292.7,1,urban,basic,3,28,2,2,0
landscaping,20.0,10,urban,standard,3,1,2,2,2
renovation,56.6,9,suburban,basic,1,2,3,1,0
landscaping,215.6,7,urban,premium,5,16,2,2,1
landscaping,143.3,3,rural,standard,4,10,2,0,2
landscaping,267.3,1,urban,basic,5,27,2,2,0
renovation,100.6,7,rural,standard,5,10,3,0,2
commercial,822.4,2,rural,basic,4,314,0,0,0
renovation,59.9,8,urban,premium,4,5,3,2,1
house,206.7,2,urban,standard,5,43,1,2,2
house,161.6,2,suburban,standard,3,37,1,1,2
renovation,71.0,6,urban,basic,3,3,3,2,0
house,152.9,8,suburban,basic,2,10,1,1,0
house,27.4,7,urban,standard,5,4,1,2,2
commercial,532.0,9,suburban,basic,1,35,0,1,0
renovation,71.1,7,urban,standard,1,3,3,2,2
house,79.5,3,suburban,standard,3,14,1,1,2
landscaping,54.5,10,rural,basic,3,2,2,0,0
house,219.9,5,suburban,basic,4,43,1,1,0
house,142.3,10,urban,basic,4,13,1,2,0
renovation,118.2,1,rural,premium,1,18,3,0,1
renovation,88.2,6,urban,standard,1,4,3,2,2
commercial,505.6,4,urban,basic,2,70,0,2,0
commercial,470.3,3,suburban,standard,2,96,0,1,2
renovation,25.9,5,rural,basic,2,2,3,0,0
house,126.3,6,urban,standard,4,10,1,2,2
renovation,86.1,4,urban,basic,1,3,3,2,0
house,159.2,2,suburban,basic,5,31,1,1,0
renovation,67.0,2,urban,premium,5,13,3,2,1
commercial,906.7,5,suburban,basic,4,163,0,1,0
commercial,558.7,3,rural,premium,5,207,0,0,1
commercial,626.2,3,suburban,premium,4,187,0,1,1
renovation,74.3,7,suburban,basic,5,6,3,1,0
landscaping,241.9,5,urban,basic,2,9,2,2,0
commercial,390.9,6,suburban,basic,3,54,0,1,0
commercial,427.7,10,urban,basic,4,62,0,2,0
renovation,91.3,4,urban,premium,2,7,3,2,1
landscaping,251.2,9,suburban,premium,3,11,2,1,1
renovation,76.8,3,urban,premium,4,10,3,2,1
commercial,460.5,4,urban,premium,5,132,0,2,1
house,98.8,6,urban,basic,3,8,1,2,0
commercial,677.1,6,urban,basic,5,125,0,2,0
renovation,56.8,5,rural,premium,4,7,3,0,1
renovation,108.6,7,urban,premium,3,8,3,2,1
house,117.9,8,urban,basic,5,13,1,2,0
landscaping,227.9,8,urban,premium,1,8,2,2,1
renovation,30.8,6,suburban,standard,3,1,3,1,2
commercial,121.3,8,rural,standard,1,14,0,0,2
commercial,472.7,2,suburban,standard,2,81,0,1,2
renovation,92.8,3,urban,premium,3,9,3,2,1
renovation,33.8,9,urban,premium,5,3,3,2,1
house,218.0,6,urban,premium,1,16,1,2,1
commercial,760.1,6,rural,standard,4,159,0,0,2
landscaping,74.8,5,suburban,standard,4,4,2,1,2
house,115.2,2,rural,premium,2,38,1,0,1
landscaping,149.9,6,suburban,premium,1,6,2,1,1
commercial,596.0,9,suburban,basic,1,45,0,1,0
commercial,404.8,4,rural,basic,2,79,0,0,0
commercial,124.1,8,rural,basic,4,17,0,0,0
commercial,486.9,1,urban,basic,4,225,0,2,0
commercial,693.1,1,urban,premium,4,423,0,2,1
commercial,948.2,5,urban,premium,2,149,0,2,1
house,150.0,9,urban,standard,3,14,1,2,2
commercial,442.7,5,suburban,standard,5,104,0,1,2
landscaping,249.8,6,rural,standard,1,8,2,0,2
landscaping,75.7,8,urban,premium,4,5,2,2,1
renovation,44.3,8,rural,standard,1,2,3,0,2
landscaping,156.5,6,urban,premium,2,7,2,2,1
house,95.9,6,rural,basic,2,11,1,0,0
renovation,73.5,6,urban,standard,1,2,3,2,2
landscaping,243.0,10,suburban,basic,1,5,2,1,0
landscaping,164.6,6,rural,premium,5,15,2,0,1
renovation,72.9,6,rural,premium,5,10,3,0,1
house,41.9,5,urban,premium,4,8,1,2,1
house,176.0,8,rural,premium,1,24,1,0,1
commercial,179.8,3,urban,basic,5,37,0,2,0
house,119.0,7,urban,standard,4,18,1,2,2
renovation,85.6,4,suburban,basic,2,4,3,1,0
commercial,248.0,7,rural,standard,2,33,0,0,2
house,169.7,5,suburban,basic,4,27,1,1,0
commercial,337.8,4,rural,premium,4,94,0,0,1
house,134.0,1,rural,premium,2,51,1,0,1
house,145.0,6,urban,premium,3,18,1,2,1
renovation,99.6,2,rural,basic,2,10,3,0,0
renovation,37.3,1,urban,premium,1,4,3,2,1
landscaping,20.0,6,rural,basic,1,1,2,0,0
landscaping,203.8,5,rural,premium,1,12,2,0,1
renovation,85.7,10,rural,premium,4,7,3,0,1
landscaping,202.1,2,rural,basic,2,16,2,0,0
commercial,860.9,1,urban,standard,3,286,0,2,2
commercial,561.2,5,urban,premium,2,109,0,2,1
landscaping,160.8,7,urban,standard,3,7,2,2,2
renovation,79.4,10,urban,premium,4,5,3,2,1
house,82.8,5,suburban,premium,3,10,1,1,1
commercial,126.7,2,urban,premium,5,60,0,2,1
landscaping,310.3,2,urban,basic,1,11,2,2,0
renovation,94.6,5,suburban,basic,2,5,3,1,0
house,129.6,4,urban,standard,5,24,1,2,2
landscaping,54.0,3,rural,premium,3,5,2,0,1
house,221.0,7,rural,premium,2,29,1,0,1
landscaping,232.7,9,rural,standard,3,9,2,0,2
landscaping,20.0,8,rural,standard,3,1,2,0,2
landscaping,272.0,8,rural,basic,2,11,2,0,0
landscaping,208.8,8,rural,standard,4,14,2,0,2
commercial,690.6,9,urban,basic,1,32,0,2,0
house,218.3,8,urban,standard,5,23,1,2,2
house,205.3,4,rural,premium,1,27,1,0,1
house,192.7,5,urban,premium,1,20,1,2,1
landscaping,163.2,6,rural,premium,4,11,2,0,1
commercial,265.7,7,suburban,basic,2,30,0,1,0
renovation,92.6,10,rural,standard,1,4,3,0,2
house,158.6,1,rural,basic,1,28,1,0,0
commercial,621.3,8,urban,premium,2,80,0,2,1
landscaping,265.3,7,rural,premium,2,15,2,0,1
commercial,459.0,9,urban,standard,5,68,0,2,2
house,172.0,7,urban,standard,1,13,1,2,2
house,172.7,4,rural,standard,2,23,1,0,2
house,74.1,3,rural,premium,1,12,1,0,1
house,61.1,6,urban,premium,5,10,1,2,1
landscaping,215.0,4,suburban,premium,4,19,2,1,1
commercial,712.0,7,suburban,standard,3,112,0,1,2
renovation,39.6,8,rural,premium,4,4,3,0,1
house,88.7,1,urban,standard,1,15,1,2,2
house,78.4,1,urban,standard,2,18,1,2,2
landscaping,159.2,7,urban,premium,4,10,2,2,1
house,122.1,7,urban,standard,3,12,1,2,2
landscaping,176.5,2,suburban,basic,2,10,2,1,0
house,170.2,2,urban,standard,2,26,1,2,2
house,194.5,9,suburban,basic,1,13,1,1,0
commercial,334.3,9,urban,premium,3,45,0,2,1
landscaping,134.6,7,suburban,standard,3,6,2,1,2
house,144.2,4,rural,standard,4,25,1,0,2
commercial,909.2,6,rural,premium,3,245,0,0,1
renovation,115.7,6,rural,premium,1,9,3,0,1
commercial,457.0,6,rural,standard,4,103,0,0,2
renovation,84.3,4,suburban,basic,1,4,3,1,0
house,186.1,10,rural,basic,1,11,1,0,0
renovation,54.1,5,suburban,premium,1,3,3,1,1
landscaping,204.3,10,rural,premium,3,14,2,0,1
landscaping,96.6,4,urban,premium,5,9,2,2,1
landscaping,122.2,10,rural,basic,1,2,2,0,0
commercial,599.9,8,suburban,standard,3,86,0,1,2
renovation,109.3,1,suburban,basic,1,9,3,1,0
house,64.1,1,suburban,premium,5,33,1,1,1
house,257.1,6,suburban,premium,2,29,1,1,1
landscaping,156.0,10,suburban,premium,1,6,2,1,1
