project_type,surface_area,materials,location,complexity,estimated_cost,project_type_encoded,materials_encoded,location_encoded
house,119.4,standard,urban,1,178983,1,2,2
commercial,557.2,basic,suburban,1,690970,0,0,1
house,101.7,premium,rural,3,175061,1,1,0
house,124.1,standard,suburban,1,152276,1,2,1
renovation,116.2,basic,suburban,2,92279,3,0,1
landscaping,358.4,premium,urban,3,132056,2,1,2
landscaping,340.6,basic,rural,3,49044,2,0,0
house,200.4,basic,urban,4,461511,1,0,2
commercial,491.7,basic,rural,2,597906,0,0,0
renovation,59.3,premium,urban,4,145017,3,1,2
renovation,73.2,standard,urban,5,137131,3,2,2
renovation,50.3,premium,urban,2,89178,3,1,2
landscaping,260.9,basic,rural,2,28041,2,0,0
house,90.7,standard,rural,5,150526,1,2,0
house,187.6,standard,suburban,1,247106,1,2,1
renovation,62.4,standard,rural,3,66598,3,2,0
commercial,727.3,basic,rural,3,932850,0,0,0
renovation,76.6,premium,suburban,4,120469,3,1,1
house,154.4,premium,urban,5,677955,1,1,2
house,113.8,premium,suburban,3,287298,1,1,1
commercial,586.2,premium,urban,5,2950513,0,1,2
commercial,679.6,standard,rural,2,958377,0,2,0
house,87.4,premium,urban,4,349597,1,1,2
landscaping,284.1,premium,suburban,2,63105,2,1,1
landscaping,235.0,premium,rural,4,69089,2,1,0
renovation,129.1,premium,suburban,4,266163,3,1,1
landscaping,242.6,basic,suburban,5,49970,2,0,1
house,248.1,standard,rural,2,274851,1,2,0
renovation,107.1,premium,rural,1,108148,3,1,0
house,148.8,standard,urban,1,218860,1,2,2
house,149.8,basic,suburban,4,203467,1,0,1
landscaping,306.3,basic,suburban,1,33882,2,0,1
house,126.4,standard,urban,2,262153,1,2,2
renovation,109.7,premium,suburban,2,156579,3,1,1
renovation,86.3,premium,urban,1,136741,3,1,2
commercial,639.6,premium,urban,2,2177930,0,1,2
landscaping,266.5,standard,suburban,3,69461,2,2,1
landscaping,289.9,standard,suburban,1,50005,2,2,1
landscaping,234.9,standard,suburban,5,60343,2,2,1
commercial,604.6,standard,rural,3,957404,0,2,0
landscaping,206.7,standard,suburban,1,33337,2,2,1
commercial,226.1,premium,suburban,1,452216,0,1,1
commercial,481.6,basic,suburban,4,971261,0,0,1
house,161.2,standard,suburban,4,341960,1,2,1
renovation,112.4,basic,suburban,2,85961,3,0,1
landscaping,365.2,standard,rural,5,66454,2,2,0
landscaping,424.6,premium,urban,1,114455,2,1,2
commercial,389.9,standard,suburban,2,654750,0,2,1
commercial,478.5,basic,urban,4,1106519,0,0,2
house,38.3,premium,suburban,2,78985,1,1,1
commercial,574.9,standard,urban,2,1333481,0,2,2
commercial,721.5,basic,urban,4,1673451,0,0,2
house,171.7,premium,rural,2,268557,1,1,0
house,141.8,standard,suburban,3,210983,1,2,1
landscaping,265.1,basic,urban,1,39916,2,0,2
commercial,435.7,basic,rural,1,505105,0,0,0
landscaping,458.4,premium,rural,4,151654,2,1,0
renovation,70.4,standard,suburban,2,64491,3,2,1
house,118.8,basic,rural,3,120884,1,0,0
house,235.8,basic,urban,4,507163,1,0,2
house,195.8,standard,rural,3,272296,1,2,0
renovation,113.2,premium,suburban,2,136374,3,1,1
landscaping,360.0,premium,suburban,5,125056,2,1,1
landscaping,289.7,standard,urban,2,67612,2,2,2
house,127.6,standard,rural,1,123278,1,2,0
renovation,99.2,basic,urban,5,131531,3,0,2
landscaping,330.3,basic,urban,2,57162,2,0,2
landscaping,293.6,standard,rural,5,65499,2,2,0
house,119.8,basic,urban,2,173526,1,0,2
house,144.4,standard,suburban,2,223939,1,2,1
renovation,103.7,basic,urban,1,82899,3,0,2
landscaping,165.9,standard,suburban,1,27791,2,2,1
landscaping,98.0,standard,rural,5,23447,2,2,0
house,42.4,basic,urban,2,74795,1,0,2
commercial,753.8,premium,suburban,1,1693510,0,1,1
commercial,173.9,basic,suburban,4,339529,0,0,1
commercial,619.0,premium,rural,3,1580010,0,1,0
commercial,651.8,basic,urban,1,1045377,0,0,2
landscaping,224.6,premium,rural,5,66014,2,1,0
landscaping,397.1,basic,suburban,3,62592,2,0,1
landscaping,201.0,standard,suburban,4,52788,2,2,1
renovation,96.5,basic,suburban,2,66936,3,0,1
commercial,379.7,basic,rural,2,451434,0,0,0
house,161.2,standard,suburban,5,395680,1,2,1
renovation,156.4,premium,rural,2,175087,3,1,0
house,126.9,premium,suburban,2,228079,1,1,1
landscaping,214.3,basic,suburban,3,32188,2,0,1
landscaping,358.7,premium,suburban,2,96540,2,1,1
house,127.6,premium,suburban,4,322996,1,1,1
renovation,40.6,basic,rural,5,37999,3,0,0
commercial,192.6,premium,rural,5,598049,0,1,0
house,128.3,basic,suburban,5,206319,1,0,1
renovation,130.3,premium,suburban,1,137890,3,1,1
commercial,560.5,premium,suburban,2,1337102,0,1,1
landscaping,189.9,premium,urban,1,48161,2,1,2
commercial,598.7,basic,urban,4,1638558,0,0,2
commercial,837.9,basic,suburban,4,1748881,0,0,1
house,75.0,standard,rural,3,87421,1,2,0
renovation,106.1,premium,suburban,2,116936,3,1,1
landscaping,431.1,basic,urban,2,86310,2,0,2
renovation,20.0,standard,urban,4,31618,3,2,2
commercial,673.1,standard,urban,1,1412759,0,2,2
house,138.2,standard,urban,1,207003,1,2,2
house,115.9,standard,suburban,1,122743,1,2,1
house,153.0,standard,rural,3,172510,1,2,0
landscaping,344.9,standard,rural,4,62708,2,2,0
house,194.3,standard,rural,5,258760,1,2,0
commercial,553.5,standard,suburban,4,1371081,0,2,1
renovation,44.4,basic,rural,2,26294,3,0,0
commercial,510.1,standard,suburban,1,778207,0,2,1
renovation,153.9,basic,urban,5,223630,3,0,2
landscaping,193.5,premium,rural,5,56725,2,1,0
renovation,32.6,basic,suburban,5,37647,3,0,1
landscaping,20.0,basic,rural,4,3162,2,0,0
commercial,509.8,standard,urban,3,1359675,0,2,2
commercial,457.3,premium,urban,2,1721486,0,1,2
renovation,84.5,premium,suburban,1,91407,3,1,1
commercial,377.3,premium,urban,4,1598280,0,1,2
house,113.4,premium,urban,5,414380,1,1,2
landscaping,387.7,standard,rural,5,89386,2,2,0
commercial,741.6,premium,rural,5,2171475,0,1,0
house,148.5,standard,urban,3,318682,1,2,2
house,193.2,standard,suburban,2,255991,1,2,1
landscaping,200.6,premium,urban,4,87346,2,1,2
commercial,261.4,premium,urban,4,1137166,0,1,2
landscaping,162.8,standard,rural,2,19662,2,2,0
house,173.3,standard,urban,2,329733,1,2,2
landscaping,291.2,basic,urban,3,69450,2,0,2
commercial,198.1,standard,rural,1,231184,0,2,0
landscaping,346.0,premium,urban,1,88056,2,1,2
commercial,718.6,basic,urban,3,1659754,0,0,2
landscaping,56.6,basic,urban,4,14392,2,0,2
commercial,290.6,premium,rural,3,720215,0,1,0
renovation,115.6,basic,urban,2,123682,3,0,2
renovation,109.9,premium,urban,1,147880,3,1,2
house,133.9,standard,rural,4,200461,1,2,0
renovation,79.2,basic,urban,2,83599,3,0,2
renovation,81.7,basic,rural,5,77327,3,0,0
landscaping,263.5,premium,suburban,2,60831,2,1,1
commercial,672.0,basic,urban,2,990155,0,0,2
house,165.8,standard,suburban,4,312949,1,2,1
landscaping,178.8,premium,suburban,1,41801,2,1,1
landscaping,383.8,basic,rural,5,60918,2,0,0
renovation,99.9,standard,suburban,3,125001,3,2,1
landscaping,340.0,standard,suburban,3,66743,2,2,1
renovation,117.1,premium,rural,5,189339,3,1,0
renovation,87.2,premium,urban,3,224051,3,1,2
commercial,565.7,basic,suburban,5,1331984,0,0,1
commercial,458.2,standard,suburban,2,754605,0,2,1
renovation,130.1,premium,urban,3,275656,3,1,2
commercial,637.3,standard,urban,4,1548335,0,2,2
renovation,89.4,standard,suburban,1,73783,3,2,1
renovation,113.8,basic,urban,3,142936,3,0,2
house,236.3,standard,rural,3,304957,1,2,0
renovation,130.4,basic,suburban,5,138976,3,0,1
renovation,115.0,standard,suburban,4,138761,3,2,1
house,260.7,premium,rural,5,612046,1,1,0
landscaping,275.6,standard,rural,2,40123,2,2,0
renovation,103.4,standard,rural,1,62499,3,2,0
commercial,466.0,standard,rural,2,640576,0,2,0
renovation,82.4,basic,rural,5,85911,3,0,0
landscaping,212.2,standard,rural,4,43938,2,2,0
house,188.7,premium,rural,5,496658,1,1,0
house,211.1,basic,suburban,3,300165,1,0,1
commercial,425.6,standard,rural,1,566270,0,2,0
renovation,90.7,basic,urban,3,106144,3,0,2
house,234.3,premium,urban,1,597494,1,1,2
commercial,706.6,basic,rural,5,1197190,0,0,0
landscaping,369.4,basic,urban,4,91251,2,0,2
renovation,79.2,standard,suburban,1,74565,3,2,1
landscaping,272.6,basic,suburban,4,47105,2,0,1
landscaping,202.4,basic,urban,3,40252,2,0,2
commercial,682.7,standard,suburban,2,1130189,0,2,1
house,148.9,basic,suburban,3,185208,1,0,1
landscaping,105.2,standard,suburban,2,20422,2,2,1
house,142.5,premium,rural,3,261697,1,1,0
landscaping,416.0,premium,rural,1,67250,2,1,0
house,189.7,standard,urban,2,310598,1,2,2
house,165.4,basic,rural,4,200516,1,0,0
house,108.8,basic,urban,1,133607,1,0,2
house,171.4,basic,urban,1,228788,1,0,2
commercial,334.5,standard,urban,2,789430,0,2,2
house,170.2,standard,urban,1,242059,1,2,2
renovation,76.3,standard,suburban,4,108602,3,2,1
landscaping,281.7,premium,suburban,3,94210,2,1,1
commercial,525.7,basic,rural,4,893524,0,0,0
renovation,89.7,standard,rural,4,89527,3,2,0
landscaping,308.6,standard,rural,4,63038,2,2,0
renovation,53.4,basic,rural,3,38693,3,0,0
landscaping,202.7,basic,suburban,4,38889,2,0,1
commercial,761.9,basic,rural,3,965809,0,0,0
commercial,874.7,standard,urban,1,1889798,0,2,2
commercial,256.2,premium,suburban,4,870888,0,1,1
renovation,33.0,standard,rural,3,33435,3,2,0
renovation,70.0,premium,suburban,5,135340,3,1,1
landscaping,506.3,premium,urban,3,172834,2,1,2
landscaping,352.1,basic,rural,5,60883,2,0,0
commercial,315.5,basic,urban,4,879910,0,0,2
renovation,54.1,standard,rural,5,64640,3,2,0
house,123.8,premium,urban,3,330942,1,1,2
house,158.4,basic,urban,3,313267,1,0,2
landscaping,327.7,basic,rural,1,33759,2,0,0
house,125.1,standard,suburban,2,197998,1,2,1
landscaping,276.1,basic,suburban,4,51068,2,0,1
renovation,128.5,basic,rural,1,63652,3,0,0
commercial,479.4,standard,urban,3,1469088,0,2,2
commercial,264.2,basic,urban,4,737742,0,0,2
commercial,419.6,premium,suburban,3,1298257,0,1,1
landscaping,240.5,standard,urban,5,74177,2,2,2
commercial,791.6,basic,urban,4,1873926,0,0,2
landscaping,328.2,basic,rural,3,47406,2,0,0
commercial,473.5,premium,rural,4,1148668,0,1,0
house,215.4,standard,rural,3,278548,1,2,0
landscaping,259.4,basic,urban,1,40200,2,0,2
commercial,608.2,standard,rural,4,1271006,0,2,0
landscaping,400.3,basic,rural,4,74137,2,0,0
commercial,573.5,basic,rural,1,651715,0,0,0
renovation,23.4,basic,urban,3,26499,3,0,2
house,202.5,premium,urban,4,646499,1,1,2
commercial,260.4,standard,urban,5,797573,0,2,2
renovation,31.2,basic,suburban,2,22788,3,0,1
house,103.6,premium,urban,5,417111,1,1,2
house,198.8,basic,urban,1,260482,1,0,2
landscaping,119.0,basic,rural,4,17021,2,0,0
renovation,106.6,premium,rural,5,175836,3,1,0
renovation,123.0,basic,rural,3,85748,3,0,0
landscaping,263.7,premium,rural,4,67327,2,1,0
house,105.2,premium,suburban,3,224398,1,1,1
commercial,375.3,basic,urban,1,494765,0,0,2
renovation,61.6,basic,urban,3,71540,3,0,2
landscaping,158.5,standard,urban,3,32051,2,2,2
landscaping,171.2,standard,rural,1,15138,2,2,0
house,164.9,basic,suburban,1,162871,1,0,1
renovation,36.5,premium,urban,2,61717,3,1,2
commercial,665.9,standard,suburban,1,940684,0,2,1
house,155.2,basic,urban,1,151787,1,0,2
commercial,487.2,basic,rural,5,792165,0,0,0
house,188.6,premium,urban,1,474981,1,1,2
house,190.5,standard,rural,1,192703,1,2,0
commercial,446.3,standard,suburban,4,975649,0,2,1
renovation,114.0,basic,rural,1,71179,3,0,0
house,175.6,standard,rural,5,298323,1,2,0
house,161.6,standard,suburban,2,253992,1,2,1
commercial,690.6,standard,urban,4,2216626,0,2,2
renovation,45.7,premium,urban,1,67244,3,1,2
house,108.2,standard,rural,2,123367,1,2,0
house,52.0,basic,suburban,1,53609,1,0,1
renovation,71.1,basic,suburban,5,90809,3,0,1
commercial,552.5,basic,urban,4,1523928,0,0,2
renovation,25.4,premium,rural,2,25438,3,1,0
commercial,706.5,basic,suburban,2,1132001,0,0,1
landscaping,203.6,basic,rural,5,33662,2,0,0
renovation,63.1,standard,rural,3,55385,3,2,0
house,155.4,basic,suburban,4,267187,1,0,1
landscaping,302.8,standard,urban,5,110726,2,2,2
landscaping,123.3,standard,rural,3,17705,2,2,0
house,178.0,premium,urban,5,679253,1,1,2
house,20.0,standard,urban,2,32870,1,2,2
landscaping,320.2,basic,urban,4,73702,2,0,2
house,90.3,basic,suburban,1,87931,1,0,1
house,181.9,standard,urban,3,417172,1,2,2
commercial,342.4,standard,suburban,1,481774,0,2,1
house,51.0,standard,rural,4,84253,1,2,0
commercial,564.9,basic,rural,4,836601,0,0,0
commercial,319.6,basic,urban,1,551427,0,0,2
landscaping,255.2,standard,rural,4,42748,2,2,0
house,73.8,basic,urban,3,132003,1,0,2
house,120.3,standard,rural,5,164226,1,2,0
renovation,88.1,premium,rural,4,121929,3,1,0
house,168.9,standard,suburban,4,323253,1,2,1
landscaping,291.6,standard,rural,3,39566,2,2,0
house,162.0,standard,rural,1,117905,1,2,0
commercial,738.8,standard,urban,4,2227373,0,2,2
commercial,460.5,basic,rural,4,696677,0,0,0
house,179.7,basic,urban,5,284946,1,0,2
commercial,891.4,premium,suburban,3,2557485,0,1,1
commercial,418.0,standard,suburban,4,928271,0,2,1
renovation,108.6,basic,rural,3,81834,3,0,0
house,117.9,basic,urban,5,276351,1,0,2
landscaping,334.9,basic,rural,1,34310,2,0,0
renovation,30.8,standard,suburban,3,28857,3,2,1
commercial,121.3,premium,suburban,1,260114,0,1,1
commercial,472.7,standard,suburban,2,713221,0,2,1
renovation,47.0,standard,urban,2,62322,3,2,2
commercial,469.0,premium,rural,3,1180423,0,1,0
renovation,33.8,basic,rural,1,17064,3,0,0
renovation,30.4,basic,urban,1,28347,3,0,2
house,150.4,standard,rural,2,190649,1,2,0
renovation,104.2,standard,suburban,4,120407,3,2,1
house,99.6,premium,suburban,3,238286,1,1,1
commercial,611.2,standard,rural,1,793069,0,2,0
landscaping,370.7,basic,rural,1,38896,2,0,0
commercial,596.0,standard,urban,5,2055437,0,2,2
landscaping,165.4,premium,urban,3,58041,2,1,2
renovation,76.6,standard,rural,4,83500,3,2,0
commercial,486.9,basic,urban,1,910068,0,0,2
landscaping,352.2,premium,urban,5,158952,2,1,2
house,154.4,basic,rural,1,120945,1,0,0
house,128.1,premium,rural,5,314218,1,1,0
renovation,50.1,premium,urban,3,101522,3,1,2
landscaping,254.7,basic,rural,5,50400,2,0,0
landscaping,362.2,premium,suburban,3,94365,2,1,1
renovation,99.4,standard,urban,5,200230,3,2,2
renovation,91.2,basic,rural,4,70295,3,0,0
landscaping,319.2,basic,suburban,4,60384,2,0,1
commercial,151.2,premium,urban,5,751991,0,1,2
renovation,34.2,standard,urban,1,31573,3,2,2
landscaping,365.9,standard,suburban,4,85397,2,2,1
landscaping,441.2,basic,rural,4,64033,2,0,0
landscaping,343.8,premium,urban,3,131676,2,1,2
renovation,100.2,basic,suburban,2,81496,3,0,1
house,155.1,standard,rural,4,275124,1,2,0
house,179.6,standard,rural,4,330707,1,2,0
commercial,752.4,premium,urban,1,2090930,0,1,2
landscaping,331.2,basic,suburban,2,48409,2,0,1
landscaping,317.3,basic,rural,4,46574,2,0,0
renovation,96.1,basic,rural,4,79142,3,0,0
renovation,60.1,basic,urban,2,56451,3,0,2
house,169.7,standard,urban,3,422903,1,2,2
house,171.9,basic,rural,1,118412,1,0,0
house,136.9,premium,suburban,1,187705,1,1,1
renovation,54.9,standard,suburban,1,53141,3,2,1
renovation,59.0,standard,rural,2,51013,3,2,0
house,182.7,standard,urban,2,348392,1,2,2
renovation,63.1,standard,suburban,5,90094,3,2,1
landscaping,216.1,basic,rural,3,30218,2,0,0
house,230.8,standard,rural,1,197249,1,2,0
landscaping,304.8,premium,rural,3,74067,2,1,0
house,114.2,basic,suburban,2,133587,1,0,1
renovation,55.3,standard,rural,1,40073,3,2,0
commercial,710.0,premium,urban,4,3002714,0,1,2
commercial,797.2,standard,urban,4,2432321,0,2,2
