price,stock,orders,rating,label
296.81,48,71,2.3,NORMAL
382.41,91,109,4.1,BEST_SELLER
444.27,18,0,4.0,UNDERPERFORMING
230.4,37,8,2.9,UNDERPERFORMING
197.09,38,49,1.4,NORMAL
479.89,84,7,3.6,UNDERPERFORMING
321.26,67,92,4.2,BEST_SELLER
151.65,14,34,4.2,NORMAL
116.22,4,131,3.2,RESTOCK
314.26,113,5,3.4,UNDERPERFORMING
479.74,76,60,5.0,NORMAL
306.02,14,78,3.0,NORMAL
382.23,53,6,2.1,UNDERPERFORMING
22.38,0,50,3.9,RESTOCK
394.96,6,76,4.9,RESTOCK
42.02,90,17,3.8,NORMAL
355.93,92,9,1.4,UNDERPERFORMING
444.08,54,37,5.0,NORMAL
81.37,1,142,2.5,RESTOCK
80.52,14,46,2.9,NORMAL
305.12,6,142,3.0,RESTOCK
90.6,73,3,2.2,UNDERPERFORMING
313.42,67,4,2.5,UNDERPERFORMING
427.72,3,69,3.6,RESTOCK
49.64,24,40,2.4,NORMAL
381.75,30,100,4.6,BEST_SELLER
74.2,70,86,4.4,BEST_SELLER
134.05,4,49,2.7,RESTOCK
28.45,5,65,2.4,RESTOCK
222.39,5,107,3.8,RESTOCK
180.32,118,106,4.4,BEST_SELLER
197.56,95,120,4.5,BEST_SELLER
94.28,81,60,2.4,NORMAL
93.07,53,6,1.1,UNDERPERFORMING
36.35,1,54,3.7,RESTOCK
425.15,1,49,3.8,RESTOCK
342.25,54,150,4.7,BEST_SELLER
91.02,12,14,1.3,NORMAL
226.33,97,49,2.6,NORMAL
241.58,9,81,2.2,RESTOCK
437.25,24,6,1.2,UNDERPERFORMING
55.09,12,2,3.1,UNDERPERFORMING
303.19,62,8,1.4,UNDERPERFORMING
346.8,63,0,4.8,UNDERPERFORMING
335.59,1,46,2.8,RESTOCK
88.13,30,7,4.1,UNDERPERFORMING
128.59,99,1,4.4,UNDERPERFORMING
41.66,0,46,4.5,RESTOCK
415.18,20,19,4.6,NORMAL
217.0,95,153,4.9,BEST_SELLER
51.14,49,15,1.7,NORMAL
57.1,79,57,1.1,NORMAL
402.98,19,17,2.2,NORMAL
84.73,42,83,4.9,BEST_SELLER
71.67,6,133,3.0,RESTOCK
345.68,111,96,4.6,BEST_SELLER
167.4,35,67,1.3,NORMAL
468.13,79,54,2.9,NORMAL
120.11,94,6,2.4,UNDERPERFORMING
150.05,44,77,2.6,NORMAL
377.98,86,19,4.7,NORMAL
193.22,33,4,4.3,UNDERPERFORMING
124.64,5,104,4.8,RESTOCK
152.32,67,195,5.0,BEST_SELLER
273.09,41,177,4.9,BEST_SELLER
412.0,7,108,4.3,RESTOCK
238.71,94,8,4.0,UNDERPERFORMING
20.38,4,77,2.6,RESTOCK
401.89,99,76,2.9,NORMAL
125.12,59,36,2.4,NORMAL
54.26,86,6,1.3,UNDERPERFORMING
204.29,48,20,3.1,NORMAL
96.76,4,86,2.9,RESTOCK
313.23,57,46,3.8,NORMAL
205.06,53,48,2.8,NORMAL
441.63,48,7,4.5,UNDERPERFORMING
38.35,102,9,1.5,UNDERPERFORMING
215.43,5,8,2.1,UNDERPERFORMING
136.88,108,189,4.5,BEST_SELLER
481.2,32,60,5.0,NORMAL
335.88,47,49,4.5,NORMAL
82.36,85,1,5.0,UNDERPERFORMING
18.13,3,119,4.6,RESTOCK
75.11,2,49,4.1,RESTOCK
54.64,0,124,4.8,RESTOCK
116.76,49,56,2.3,NORMAL
11.56,112,82,5.0,BEST_SELLER
466.79,2,147,2.2,RESTOCK
449.63,114,49,4.7,NORMAL
133.68,36,194,4.3,BEST_SELLER
386.19,4,0,3.6,UNDERPERFORMING
361.51,22,6,4.2,UNDERPERFORMING
293.31,7,149,5.0,RESTOCK
5.96,27,77,1.1,NORMAL
473.12,8,76,4.3,RESTOCK
229.54,89,5,4.7,UNDERPERFORMING
280.16,89,2,2.3,UNDERPERFORMING
438.75,58,1,2.3,UNDERPERFORMING
35.96,64,151,4.2,BEST_SELLER
382.16,119,19,2.2,NORMAL
360.36,100,171,4.3,BEST_SELLER
489.91,69,40,1.3,NORMAL
351.08,93,121,4.5,BEST_SELLER
24.08,9,111,3.7,RESTOCK
125.45,104,125,4.4,BEST_SELLER
375.67,7,126,3.5,RESTOCK
357.3,17,8,1.7,UNDERPERFORMING
228.21,35,24,3.1,NORMAL
94.45,91,3,2.1,UNDERPERFORMING
332.71,42,54,4.8,NORMAL
207.94,2,57,4.4,RESTOCK
292.22,0,123,3.9,RESTOCK
156.78,83,198,4.7,BEST_SELLER
86.31,11,19,4.8,NORMAL
147.49,4,45,2.7,RESTOCK
315.19,1,69,3.9,RESTOCK
465.14,5,33,4.8,RESTOCK
43.08,85,121,4.7,BEST_SELLER
375.02,90,97,5.0,BEST_SELLER
141.72,3,145,2.8,RESTOCK
344.94,66,74,2.2,NORMAL
69.91,40,152,4.1,BEST_SELLER
167.98,2,84,3.7,RESTOCK
415.65,9,33,2.7,RESTOCK
24.26,36,52,1.4,NORMAL
80.98,10,5,2.1,UNDERPERFORMING
133.57,63,1,1.5,UNDERPERFORMING
383.86,68,46,4.5,NORMAL
158.6,40,116,4.6,BEST_SELLER
370.63,61,178,4.0,BEST_SELLER
252.66,47,64,2.1,NORMAL
219.0,84,17,1.6,NORMAL
384.6,85,8,2.2,UNDERPERFORMING
105.19,82,5,2.9,UNDERPERFORMING
221.31,62,3,2.0,UNDERPERFORMING
263.17,57,160,4.8,BEST_SELLER
356.41,72,59,4.3,NORMAL
260.65,1,42,4.2,RESTOCK
73.63,2,64,4.0,RESTOCK
136.08,9,103,2.6,RESTOCK
300.23,23,32,2.3,NORMAL
194.66,99,112,4.3,BEST_SELLER
282.91,42,158,4.9,BEST_SELLER
128.74,38,146,4.1,BEST_SELLER
18.97,107,57,2.4,NORMAL
354.37,5,66,4.7,RESTOCK
246.06,11,78,4.0,NORMAL
160.72,3,7,4.1,UNDERPERFORMING
480.82,54,58,4.3,NORMAL
17.39,28,2,2.9,UNDERPERFORMING
415.46,76,5,2.0,UNDERPERFORMING
210.76,118,27,3.2,NORMAL
360.5,13,50,3.0,NORMAL
132.29,111,5,2.3,UNDERPERFORMING
101.34,42,0,2.8,UNDERPERFORMING
226.87,55,2,2.6,UNDERPERFORMING
36.67,31,62,1.4,NORMAL
321.18,13,27,1.1,NORMAL
487.83,21,4,3.6,UNDERPERFORMING
465.17,78,9,2.3,UNDERPERFORMING
45.17,7,32,3.4,RESTOCK
199.06,55,70,2.7,NORMAL
62.02,42,5,3.9,UNDERPERFORMING
211.27,97,118,4.1,BEST_SELLER
111.51,4,100,2.6,RESTOCK
464.11,1,102,4.0,RESTOCK
6.34,84,2,3.2,UNDERPERFORMING
433.81,63,75,3.2,NORMAL
236.04,16,80,5.0,NORMAL
85.88,6,110,3.1,RESTOCK
186.54,103,37,3.4,NORMAL
94.85,6,5,3.8,UNDERPERFORMING
99.78,39,85,4.6,BEST_SELLER
81.38,72,76,4.0,NORMAL
377.2,57,95,4.9,BEST_SELLER
379.28,45,9,1.6,UNDERPERFORMING
217.76,95,156,4.3,BEST_SELLER
432.15,31,2,4.5,UNDERPERFORMING
379.54,90,124,4.7,BEST_SELLER
441.68,3,106,3.6,RESTOCK
189.18,34,15,1.9,NORMAL
227.06,82,68,4.4,NORMAL
73.52,47,162,4.3,BEST_SELLER
26.87,2,78,3.0,RESTOCK
192.67,80,6,4.9,UNDERPERFORMING
425.62,3,149,2.7,RESTOCK
157.83,58,142,4.7,BEST_SELLER
321.99,33,48,1.5,NORMAL
98.54,12,70,3.0,NORMAL
159.49,28,167,4.6,BEST_SELLER
315.25,102,3,3.7,UNDERPERFORMING
298.51,2,58,3.9,RESTOCK
153.46,24,18,3.2,NORMAL
230.94,6,59,3.9,RESTOCK
38.1,106,181,4.1,BEST_SELLER
107.78,109,5,4.5,UNDERPERFORMING
339.94,76,85,4.5,BEST_SELLER
47.56,3,51,2.5,RESTOCK
43.08,38,147,4.8,BEST_SELLER
405.92,77,58,2.1,NORMAL
265.94,110,85,4.0,BEST_SELLER
24.46,73,80,4.4,NORMAL
207.8,78,1,3.9,UNDERPERFORMING
417.1,5,51,3.3,RESTOCK
341.37,0,56,2.3,RESTOCK
257.17,89,197,4.6,BEST_SELLER
309.44,11,73,3.4,NORMAL
225.24,9,96,2.4,RESTOCK
185.77,41,6,3.4,UNDERPERFORMING
120.2,38,8,1.6,UNDERPERFORMING
300.46,53,196,4.3,BEST_SELLER
70.53,100,168,4.2,BEST_SELLER
496.8,4,145,2.1,RESTOCK
164.05,31,162,4.2,BEST_SELLER
303.87,76,185,4.3,BEST_SELLER
207.97,4,88,4.6,RESTOCK
157.09,99,166,4.9,BEST_SELLER
280.72,6,66,2.5,RESTOCK
369.5,15,2,2.8,UNDERPERFORMING
75.88,37,27,1.8,NORMAL
308.05,0,35,2.5,RESTOCK
226.88,4,128,2.7,RESTOCK
92.66,37,190,4.4,BEST_SELLER
428.31,11,21,3.0,NORMAL
19.0,57,5,2.1,UNDERPERFORMING
110.27,110,74,4.6,NORMAL
162.44,29,34,3.3,NORMAL
352.89,86,114,4.8,BEST_SELLER
283.69,5,4,3.6,UNDERPERFORMING
118.03,70,9,3.3,UNDERPERFORMING
244.04,72,69,2.2,NORMAL
373.28,9,94,3.4,RESTOCK
46.36,38,3,2.0,UNDERPERFORMING
259.99,7,72,3.3,RESTOCK
64.45,3,39,5.0,RESTOCK
118.45,24,117,4.4,BEST_SELLER
411.95,18,25,4.2,NORMAL
327.72,86,57,2.9,NORMAL
35.35,54,5,1.5,UNDERPERFORMING
79.27,8,55,4.0,RESTOCK
198.29,10,47,1.1,NORMAL
51.85,3,50,4.2,RESTOCK
49.84,4,57,3.3,RESTOCK
97.41,2,9,2.2,UNDERPERFORMING
135.42,5,73,3.0,RESTOCK
147.47,80,6,1.2,UNDERPERFORMING
396.0,45,0,2.0,UNDERPERFORMING
117.22,109,5,1.9,UNDERPERFORMING
214.26,108,93,4.8,BEST_SELLER
307.82,71,79,3.6,NORMAL
438.82,93,31,1.8,NORMAL
112.05,18,8,3.6,UNDERPERFORMING
418.39,8,56,2.0,RESTOCK
67.89,63,141,4.4,BEST_SELLER
399.05,2,139,4.4,RESTOCK
442.35,7,66,4.3,RESTOCK
249.37,2,146,3.1,RESTOCK
444.57,85,7,1.8,UNDERPERFORMING
200.27,5,118,2.8,RESTOCK
16.76,106,0,4.4,UNDERPERFORMING
398.79,106,4,3.0,UNDERPERFORMING
337.86,110,55,1.8,NORMAL
492.17,3,72,3.9,RESTOCK
353.68,104,1,3.1,UNDERPERFORMING
480.31,68,19,2.4,NORMAL
74.47,23,111,4.2,BEST_SELLER
145.32,19,5,1.7,UNDERPERFORMING
373.66,0,128,4.2,RESTOCK
278.57,85,40,4.3,NORMAL
108.67,44,5,1.9,UNDERPERFORMING
105.05,34,7,5.0,UNDERPERFORMING
306.36,92,2,1.9,UNDERPERFORMING
455.61,7,55,3.6,RESTOCK
152.03,70,118,4.2,BEST_SELLER
14.18,85,105,4.5,BEST_SELLER
295.14,71,174,4.6,BEST_SELLER
136.21,46,36,3.9,NORMAL
251.7,42,51,1.0,NORMAL
374.8,67,136,4.2,BEST_SELLER
325.32,76,39,1.7,NORMAL
380.39,115,80,4.0,NORMAL
438.17,20,6,2.1,UNDERPERFORMING
163.94,2,53,2.3,RESTOCK
401.35,119,37,2.9,NORMAL
180.97,105,137,5.0,BEST_SELLER
369.18,77,100,4.3,BEST_SELLER
437.13,66,6,1.4,UNDERPERFORMING
407.09,67,7,2.9,UNDERPERFORMING
223.86,47,60,4.4,NORMAL
227.52,0,107,2.6,RESTOCK
401.04,63,78,3.8,NORMAL
289.12,16,21,2.8,NORMAL
235.28,29,2,4.3,UNDERPERFORMING
341.33,53,27,2.7,NORMAL
191.48,37,8,1.6,UNDERPERFORMING
300.0,62,83,5.0,BEST_SELLER
193.22,107,168,4.9,BEST_SELLER
99.07,66,8,2.0,UNDERPERFORMING
223.3,15,51,1.9,NORMAL
160.6,1,78,2.8,RESTOCK
375.3,12,0,3.4,UNDERPERFORMING
292.82,103,165,4.7,BEST_SELLER
329.14,100,169,4.5,BEST_SELLER
17.71,108,119,4.2,BEST_SELLER
406.43,5,88,3.7,RESTOCK
397.03,30,187,4.8,BEST_SELLER
263.35,1,68,3.7,RESTOCK
171.51,82,1,1.0,UNDERPERFORMING
140.55,112,34,1.4,NORMAL
189.82,110,9,3.0,UNDERPERFORMING
332.13,114,4,4.0,UNDERPERFORMING
248.35,67,8,4.6,UNDERPERFORMING
234.09,24,8,3.7,UNDERPERFORMING
347.46,101,6,4.0,UNDERPERFORMING
386.35,40,9,3.0,UNDERPERFORMING
226.99,38,0,4.9,UNDERPERFORMING
119.55,107,88,4.5,BEST_SELLER
197.6,8,56,3.7,RESTOCK
62.37,3,136,3.5,RESTOCK
268.06,97,51,3.0,NORMAL
151.05,88,66,3.2,NORMAL
402.36,6,137,2.0,RESTOCK
24.56,8,7,1.2,UNDERPERFORMING
409.1,35,60,4.0,NORMAL
408.8,64,7,4.5,UNDERPERFORMING
203.03,105,19,1.8,NORMAL
402.34,68,1,3.4,UNDERPERFORMING
127.3,57,71,2.2,NORMAL
437.07,4,53,2.7,RESTOCK
487.34,2,40,4.0,RESTOCK
201.29,109,3,2.0,UNDERPERFORMING
480.51,0,116,4.8,RESTOCK
69.62,102,190,4.3,BEST_SELLER
313.81,92,97,4.5,BEST_SELLER
376.61,22,186,4.8,BEST_SELLER
365.3,74,74,3.1,NORMAL
176.09,26,158,4.9,BEST_SELLER
380.97,59,95,4.9,BEST_SELLER
310.74,77,6,4.9,UNDERPERFORMING
60.67,87,137,4.2,BEST_SELLER
479.47,4,115,3.9,RESTOCK
119.44,74,120,4.2,BEST_SELLER
142.69,106,13,4.0,NORMAL
113.85,51,67,2.8,NORMAL
109.16,41,190,4.5,BEST_SELLER
447.4,110,4,2.3,UNDERPERFORMING
472.25,14,4,4.6,UNDERPERFORMING
483.96,69,8,1.6,UNDERPERFORMING
155.93,54,46,3.2,NORMAL
485.05,109,1,3.4,UNDERPERFORMING
259.22,94,81,5.0,BEST_SELLER
488.18,5,78,4.1,RESTOCK
21.31,40,109,4.2,BEST_SELLER
411.51,9,80,3.0,RESTOCK
163.91,80,118,4.6,BEST_SELLER
394.46,88,14,4.4,NORMAL
188.91,2,53,2.6,RESTOCK
30.15,101,153,4.8,BEST_SELLER
51.54,95,9,4.0,UNDERPERFORMING
283.16,118,33,2.3,NORMAL
41.66,7,84,3.2,RESTOCK
312.94,99,104,4.9,BEST_SELLER
96.31,93,16,2.4,NORMAL
238.92,23,78,3.2,NORMAL
399.06,104,164,4.6,BEST_SELLER
391.51,1,142,4.2,RESTOCK
124.95,51,159,4.8,BEST_SELLER
91.01,32,111,4.0,BEST_SELLER
331.93,95,40,1.9,NORMAL
240.67,8,142,2.2,RESTOCK
247.17,22,136,4.4,BEST_SELLER
148.7,18,41,3.7,NORMAL
88.81,117,103,4.5,BEST_SELLER
89.31,83,0,3.9,UNDERPERFORMING
146.01,36,35,2.3,NORMAL
267.52,21,36,3.7,NORMAL
75.96,90,67,3.8,NORMAL
62.47,108,12,2.3,NORMAL
221.82,61,43,3.3,NORMAL
373.88,3,46,2.6,RESTOCK
143.42,4,34,3.8,RESTOCK
185.65,67,125,4.9,BEST_SELLER
430.48,6,76,4.6,RESTOCK
36.24,1,146,2.9,RESTOCK
59.01,34,194,4.5,BEST_SELLER
98.62,24,146,4.1,BEST_SELLER
438.04,20,9,4.4,UNDERPERFORMING
251.03,118,0,1.9,UNDERPERFORMING
290.59,84,132,4.6,BEST_SELLER
105.97,75,88,4.5,BEST_SELLER
51.5,84,199,4.7,BEST_SELLER
368.07,7,34,3.7,RESTOCK
499.71,19,61,1.2,NORMAL
157.29,7,56,4.1,RESTOCK
8.51,75,52,2.1,NORMAL
75.95,79,77,1.6,NORMAL
418.75,85,0,4.0,UNDERPERFORMING
328.28,69,56,4.1,NORMAL
84.98,36,53,2.1,NORMAL
328.08,0,149,5.0,RESTOCK
80.0,83,130,4.5,BEST_SELLER
189.66,8,98,2.8,RESTOCK
211.89,44,139,4.5,BEST_SELLER
464.62,5,5,3.1,UNDERPERFORMING
374.82,41,1,4.2,UNDERPERFORMING
201.77,7,100,2.4,RESTOCK
334.28,110,6,2.1,UNDERPERFORMING
461.76,99,75,3.6,NORMAL
47.75,105,72,4.7,NORMAL
71.84,0,143,3.2,RESTOCK
88.77,73,83,4.5,BEST_SELLER
98.41,5,132,3.3,RESTOCK
464.97,59,0,5.0,UNDERPERFORMING
457.09,59,0,2.6,UNDERPERFORMING
236.82,9,145,3.4,RESTOCK
86.61,44,117,4.8,BEST_SELLER
47.35,97,32,1.0,NORMAL
451.56,42,8,4.8,UNDERPERFORMING
155.35,115,86,4.1,BEST_SELLER
72.65,19,3,4.6,UNDERPERFORMING
428.46,8,77,3.6,RESTOCK
217.83,9,82,2.8,RESTOCK
15.47,9,68,2.5,RESTOCK
291.41,1,47,4.9,RESTOCK
300.95,103,178,4.1,BEST_SELLER
43.74,98,63,4.8,NORMAL
323.19,96,9,2.0,UNDERPERFORMING
450.64,111,7,1.3,UNDERPERFORMING
444.59,8,127,3.0,RESTOCK
47.06,64,69,4.7,NORMAL
495.55,34,1,4.2,UNDERPERFORMING
107.64,44,49,3.1,NORMAL
20.91,113,3,4.5,UNDERPERFORMING
116.54,90,87,4.6,BEST_SELLER
374.11,8,0,4.1,UNDERPERFORMING
383.51,2,121,3.4,RESTOCK
306.84,90,174,4.1,BEST_SELLER
332.78,44,156,4.8,BEST_SELLER
306.41,18,172,4.2,BEST_SELLER
428.7,68,53,1.5,NORMAL
408.79,102,3,4.1,UNDERPERFORMING
194.58,66,43,2.0,NORMAL
344.67,61,81,4.5,BEST_SELLER
275.17,0,121,3.4,RESTOCK
168.49,58,177,4.2,BEST_SELLER
242.64,117,80,1.5,NORMAL
307.21,25,3,2.2,UNDERPERFORMING
455.35,1,66,3.7,RESTOCK
173.17,3,39,3.4,RESTOCK
438.05,21,1,4.3,UNDERPERFORMING
397.25,49,44,3.8,NORMAL
53.15,89,154,4.2,BEST_SELLER
119.74,111,115,4.7,BEST_SELLER
293.21,90,135,4.7,BEST_SELLER
171.74,2,103,4.0,RESTOCK
201.38,61,192,4.6,BEST_SELLER
125.78,98,193,4.9,BEST_SELLER
313.48,113,183,4.3,BEST_SELLER
154.66,47,179,4.8,BEST_SELLER
414.96,107,7,3.3,UNDERPERFORMING
347.53,92,168,4.8,BEST_SELLER
373.18,103,95,4.1,BEST_SELLER
379.47,25,4,2.9,UNDERPERFORMING
476.2,5,32,4.3,RESTOCK
61.11,60,95,4.9,BEST_SELLER
335.08,94,4,2.3,UNDERPERFORMING
90.65,55,9,1.3,UNDERPERFORMING
18.89,30,195,4.5,BEST_SELLER
315.27,15,40,3.0,NORMAL
249.69,4,79,3.7,RESTOCK
269.52,80,29,1.1,NORMAL
411.83,16,3,3.2,UNDERPERFORMING
468.77,27,6,3.8,UNDERPERFORMING
136.03,9,139,2.4,RESTOCK
47.92,9,57,3.3,RESTOCK
82.1,7,94,4.7,RESTOCK
161.19,68,19,3.8,NORMAL
26.98,62,80,4.5,NORMAL
93.18,62,17,4.1,NORMAL
357.41,38,187,4.5,BEST_SELLER
134.02,118,141,4.9,BEST_SELLER
466.8,3,55,3.6,RESTOCK
50.94,17,128,4.9,BEST_SELLER
14.86,18,175,4.5,BEST_SELLER
247.46,4,106,3.0,RESTOCK
251.48,6,107,4.6,RESTOCK
407.89,47,7,2.8,UNDERPERFORMING
16.02,9,102,4.3,RESTOCK
163.1,49,90,4.8,BEST_SELLER
296.61,18,105,4.7,BEST_SELLER
67.8,23,1,4.9,UNDERPERFORMING
103.0,90,7,1.4,UNDERPERFORMING
388.23,26,198,4.3,BEST_SELLER
201.05,57,0,1.4,UNDERPERFORMING
119.68,40,159,4.7,BEST_SELLER
208.86,6,78,4.8,RESTOCK
337.63,29,60,4.9,NORMAL
482.47,15,4,1.2,UNDERPERFORMING
231.9,2,0,3.2,UNDERPERFORMING
423.62,7,92,4.5,RESTOCK
179.17,65,136,4.2,BEST_SELLER
263.55,80,91,4.9,BEST_SELLER
274.88,19,6,3.8,UNDERPERFORMING
333.48,41,175,4.2,BEST_SELLER
71.32,69,46,1.2,NORMAL
137.72,60,126,4.7,BEST_SELLER
49.08,1,78,4.2,RESTOCK
288.06,5,49,4.2,RESTOCK
122.0,5,36,2.5,RESTOCK
224.17,35,132,4.6,BEST_SELLER
208.19,43,139,4.3,BEST_SELLER
339.86,93,154,4.5,BEST_SELLER
439.68,5,75,2.3,RESTOCK
98.8,60,1,3.2,UNDERPERFORMING
60.32,60,99,4.6,BEST_SELLER
30.27,57,191,4.1,BEST_SELLER
147.59,0,7,1.3,UNDERPERFORMING
278.37,77,2,4.3,UNDERPERFORMING
160.18,87,157,4.3,BEST_SELLER
378.99,5,61,4.5,RESTOCK
487.61,34,28,3.9,NORMAL
376.9,79,42,2.4,NORMAL
204.62,89,0,2.1,UNDERPERFORMING
316.64,77,76,4.2,NORMAL
203.25,107,94,4.3,BEST_SELLER
86.71,26,80,2.3,NORMAL
440.09,26,33,3.7,NORMAL
77.7,0,133,4.5,RESTOCK
228.98,41,175,4.8,BEST_SELLER
287.4,52,10,3.6,NORMAL
33.51,48,9,3.3,UNDERPERFORMING
381.67,76,89,4.1,BEST_SELLER
76.8,28,148,4.6,BEST_SELLER
153.21,75,13,1.1,NORMAL
189.99,3,108,2.3,RESTOCK
178.22,72,173,4.8,BEST_SELLER
312.36,96,39,2.9,NORMAL
319.59,107,3,4.7,UNDERPERFORMING
323.61,17,166,4.7,BEST_SELLER
102.33,38,110,4.6,BEST_SELLER
187.33,104,5,2.2,UNDERPERFORMING
385.14,53,189,4.7,BEST_SELLER
339.63,69,3,3.6,UNDERPERFORMING
491.16,7,103,3.3,RESTOCK
428.54,8,53,3.8,RESTOCK
431.96,84,8,1.4,UNDERPERFORMING
168.65,101,29,4.2,NORMAL
