project_type,project_type_encoded,size_sqm,num_workers,location,location_encoded,materials,materials_encoded,complexity,budget_tnd,requested_duration,realistic_duration,artisan_experience,season,season_encoded,weather_risk,delay_risk_score,delay_risk,is_delayed
landscaping,3,111.4,1,urban,2,standard,1,2.8,51759,54,16,3.2,winter,0,0.8,0.367,MEDIUM,1
renovation,1,272.8,7,rural,0,basic,0,2.7,147358,73,18,4.1,summer,2,0.1,0.131,LOW,0
house,0,36.8,6,urban,2,premium,2,1.4,23361,100,5,12.9,spring,1,0.1,0.101,LOW,0
renovation,1,76.0,5,rural,0,basic,0,2.9,38774,100,5,9.9,winter,0,0.8,0.0,LOW,1
renovation,1,446.7,4,rural,0,basic,0,2.5,127043,64,25,7.8,summer,2,0.1,0.018,LOW,0
house,0,319.5,7,urban,2,basic,0,4.8,174104,38,31,14.1,summer,2,0.1,0.225,LOW,0
landscaping,3,332.3,1,rural,0,premium,2,4.2,165025,18,104,6.1,spring,1,0.1,0.802,HIGH,1
landscaping,3,455.5,4,rural,0,standard,1,2.1,46845,52,33,0.8,autumn,3,0.3,0.149,LOW,0
renovation,1,63.5,5,rural,0,basic,0,4.4,9538,40,7,4.3,autumn,3,0.3,0.379,MEDIUM,1
commercial,2,193.7,3,suburban,1,standard,1,4.5,148339,27,43,14.5,autumn,3,0.3,0.59,MEDIUM,1
house,0,297.2,3,urban,2,premium,2,5.0,85460,88,91,4.1,winter,0,0.8,0.396,MEDIUM,1
house,0,294.1,4,suburban,1,premium,2,2.7,151420,95,48,4.0,summer,2,0.1,0.136,LOW,0
house,0,263.4,1,rural,0,basic,0,2.3,179627,55,77,1.3,spring,1,0.1,0.602,HIGH,1
landscaping,3,428.2,1,rural,0,standard,1,2.3,190262,58,49,8.8,spring,1,0.1,0.136,LOW,0
commercial,2,167.8,1,suburban,1,basic,0,3.2,46482,59,45,12.0,winter,0,0.8,0.288,LOW,0
landscaping,3,262.4,7,urban,2,basic,0,5.0,15895,41,13,13.4,winter,0,0.8,0.5,MEDIUM,0
house,0,97.2,2,rural,0,basic,0,4.3,174039,108,31,1.7,spring,1,0.1,0.4,MEDIUM,0
landscaping,3,416.3,2,suburban,1,standard,1,1.6,105099,44,16,14.8,spring,1,0.1,0.0,LOW,0
landscaping,3,412.0,7,rural,0,basic,0,4.6,120418,42,29,6.0,autumn,3,0.3,0.147,LOW,0
house,0,292.4,3,suburban,1,standard,1,2.0,69399,73,30,4.2,autumn,3,0.3,0.111,LOW,0
commercial,2,378.3,5,suburban,1,premium,2,4.3,150121,9,84,9.0,autumn,3,0.3,0.722,HIGH,1
renovation,1,206.2,1,rural,0,standard,1,1.3,108032,12,18,12.1,spring,1,0.1,0.606,HIGH,1
house,0,291.3,7,urban,2,premium,2,4.6,107902,81,44,13.8,winter,0,0.8,0.281,LOW,0
commercial,2,65.5,7,rural,0,basic,0,3.5,140671,37,7,14.9,autumn,3,0.3,0.169,LOW,0
renovation,1,376.4,3,rural,0,premium,2,2.1,190330,78,37,6.2,winter,0,0.8,0.051,LOW,0
renovation,1,109.7,4,rural,0,premium,2,2.9,73904,56,14,4.4,winter,0,0.8,0.202,LOW,0
renovation,1,243.0,7,suburban,1,basic,0,3.1,65358,90,11,9.2,spring,1,0.1,0.064,LOW,0
house,0,65.8,6,urban,2,basic,0,4.8,146515,53,6,13.8,autumn,3,0.3,0.097,LOW,1
commercial,2,289.2,5,suburban,1,basic,0,1.1,78410,71,10,7.5,summer,2,0.1,0.107,LOW,0
renovation,1,382.3,1,suburban,1,standard,1,4.9,169213,83,164,1.4,spring,1,0.1,0.767,HIGH,1
commercial,2,92.9,5,suburban,1,standard,1,1.2,173621,87,5,8.2,winter,0,0.8,0.13,LOW,1
house,0,305.0,5,suburban,1,premium,2,4.8,170681,23,81,4.0,winter,0,0.8,0.721,HIGH,1
house,0,148.2,5,urban,2,basic,0,3.4,49585,119,11,11.5,summer,2,0.1,0.0,LOW,0
renovation,1,40.4,2,suburban,1,basic,0,3.1,155602,56,5,12.9,spring,1,0.1,0.07,LOW,0
commercial,2,442.0,1,suburban,1,basic,0,3.4,98609,29,124,11.4,autumn,3,0.3,0.604,HIGH,1
commercial,2,360.9,3,urban,2,premium,2,4.6,125366,104,115,5.6,winter,0,0.8,0.298,LOW,0
commercial,2,235.6,7,urban,2,basic,0,3.9,111752,103,23,11.9,spring,1,0.1,0.089,LOW,0
commercial,2,435.3,5,rural,0,basic,0,4.2,94573,23,70,7.6,spring,1,0.1,0.512,MEDIUM,1
commercial,2,490.6,5,suburban,1,premium,2,2.4,45781,49,81,4.0,spring,1,0.1,0.575,MEDIUM,0
commercial,2,90.2,7,rural,0,premium,2,2.6,141045,10,18,3.1,summer,2,0.1,0.579,MEDIUM,1
landscaping,3,252.8,5,suburban,1,basic,0,4.9,122377,57,25,1.1,winter,0,0.8,0.364,MEDIUM,0
landscaping,3,113.2,5,suburban,1,basic,0,3.2,109213,18,6,3.5,winter,0,0.8,0.203,LOW,0
commercial,2,354.5,1,rural,0,premium,2,1.4,98823,92,123,1.7,summer,2,0.1,0.635,HIGH,1
renovation,1,462.8,5,urban,2,standard,1,1.0,174319,14,9,11.3,autumn,3,0.3,0.0,LOW,0
house,0,204.1,6,rural,0,basic,0,1.9,153191,84,11,7.2,spring,1,0.1,0.059,LOW,0
house,0,148.6,7,suburban,1,premium,2,3.7,169666,113,20,8.2,spring,1,0.1,0.081,LOW,0
landscaping,3,280.3,7,rural,0,basic,0,1.4,148794,34,8,0.8,summer,2,0.1,0.224,LOW,0
commercial,2,183.9,4,rural,0,standard,1,1.9,71871,31,18,10.3,spring,1,0.1,0.068,LOW,0
renovation,1,70.9,7,urban,2,basic,0,3.9,113760,46,5,6.8,summer,2,0.1,0.036,LOW,0
landscaping,3,200.6,2,urban,2,premium,2,3.4,52649,65,19,14.8,spring,1,0.1,0.131,LOW,0
renovation,1,77.8,6,rural,0,basic,0,2.5,100123,100,5,3.2,autumn,3,0.3,0.087,LOW,0
house,0,451.5,7,rural,0,premium,2,1.2,8557,107,24,14.7,summer,2,0.1,0.282,LOW,0
landscaping,3,485.7,4,urban,2,premium,2,1.0,195138,100,14,3.0,spring,1,0.1,0.194,LOW,1
commercial,2,291.7,2,rural,0,premium,2,2.1,155051,76,59,14.5,winter,0,0.8,0.172,LOW,0
landscaping,3,376.0,4,rural,0,standard,1,1.5,124071,70,17,1.8,spring,1,0.1,0.211,LOW,1
renovation,1,180.7,3,suburban,1,standard,1,1.2,70638,16,5,8.5,summer,2,0.1,0.02,LOW,0
renovation,1,351.7,4,rural,0,basic,0,2.0,137893,23,24,2.2,spring,1,0.1,0.105,LOW,0
landscaping,3,403.3,7,suburban,1,standard,1,4.7,166971,114,29,6.4,winter,0,0.8,0.367,MEDIUM,1
commercial,2,126.4,3,suburban,1,premium,2,1.3,149519,28,16,1.2,autumn,3,0.3,0.336,LOW,1
commercial,2,382.7,4,rural,0,basic,0,1.7,37032,11,35,3.9,summer,2,0.1,0.537,MEDIUM,1
renovation,1,178.6,2,urban,2,standard,1,2.6,164237,45,13,10.8,winter,0,0.8,0.16,LOW,0
house,0,283.7,7,urban,2,standard,1,3.0,50281,103,24,6.2,summer,2,0.1,0.116,LOW,0
commercial,2,137.6,7,suburban,1,premium,2,1.5,188267,13,9,11.1,winter,0,0.8,0.219,LOW,0
landscaping,3,443.0,1,urban,2,basic,0,3.1,179309,42,41,15.0,summer,2,0.1,0.21,LOW,0
house,0,395.9,1,urban,2,standard,1,1.1,116128,16,33,7.7,winter,0,0.8,0.631,HIGH,1
renovation,1,78.4,5,suburban,1,standard,1,1.4,170058,94,5,9.3,winter,0,0.8,0.08,LOW,0
commercial,2,258.6,4,urban,2,standard,1,3.9,145407,101,39,9.2,winter,0,0.8,0.143,LOW,0
commercial,2,311.5,4,urban,2,standard,1,1.7,182148,44,28,3.8,autumn,3,0.3,0.115,LOW,0
commercial,2,319.0,2,suburban,1,premium,2,3.3,103648,95,112,4.2,summer,2,0.1,0.455,MEDIUM,1
renovation,1,78.0,4,rural,0,standard,1,4.2,9489,112,9,11.7,autumn,3,0.3,0.255,LOW,0
renovation,1,66.3,6,urban,2,premium,2,4.7,185486,29,11,2.3,summer,2,0.1,0.257,LOW,0
landscaping,3,117.6,7,urban,2,basic,0,4.7,174630,61,7,3.8,summer,2,0.1,0.332,LOW,0
commercial,2,379.8,2,rural,0,standard,1,4.2,5903,47,179,2.2,summer,2,0.1,0.893,HIGH,1
landscaping,3,435.9,6,suburban,1,standard,1,2.4,72656,40,15,13.8,spring,1,0.1,0.027,LOW,0
landscaping,3,459.0,6,urban,2,basic,0,1.7,102182,76,13,1.0,winter,0,0.8,0.242,LOW,0
commercial,2,160.5,2,urban,2,premium,2,1.1,134390,77,12,14.6,summer,2,0.1,0.052,LOW,0
house,0,434.5,7,rural,0,premium,2,5.0,102928,7,119,5.0,summer,2,0.1,0.739,HIGH,1
renovation,1,230.6,3,rural,0,basic,0,2.4,96305,55,22,1.0,winter,0,0.8,0.274,LOW,0
house,0,60.9,6,rural,0,standard,1,3.9,107891,98,8,7.5,winter,0,0.8,0.129,LOW,0
landscaping,3,78.4,5,suburban,1,premium,2,1.3,151883,16,5,4.4,spring,1,0.1,0.189,LOW,0
landscaping,3,41.9,4,suburban,1,standard,1,4.4,174064,14,5,0.9,spring,1,0.1,0.304,LOW,0
renovation,1,345.8,5,urban,2,premium,2,3.4,71158,107,41,3.1,winter,0,0.8,0.311,LOW,0
house,0,76.7,6,suburban,1,basic,0,3.4,162336,22,7,6.3,spring,1,0.1,0.094,LOW,0
landscaping,3,167.8,2,rural,0,premium,2,1.1,21674,29,6,12.8,spring,1,0.1,0.0,LOW,1
house,0,332.2,2,suburban,1,basic,0,4.6,164401,26,72,5.4,autumn,3,0.3,0.645,HIGH,1
commercial,2,200.6,7,suburban,1,premium,2,2.1,126709,44,19,11.7,autumn,3,0.3,0.103,LOW,1
landscaping,3,133.2,2,rural,0,premium,2,4.1,32322,80,20,8.7,autumn,3,0.3,0.327,LOW,0
landscaping,3,115.6,2,suburban,1,basic,0,1.1,57392,46,5,10.6,summer,2,0.1,0.0,LOW,0
landscaping,3,333.2,6,urban,2,basic,0,4.9,107510,115,17,10.5,summer,2,0.1,0.197,LOW,1
landscaping,3,278.9,2,rural,0,premium,2,3.3,58441,23,39,6.4,summer,2,0.1,0.509,MEDIUM,1
renovation,1,80.1,6,suburban,1,standard,1,1.5,180504,12,5,11.1,summer,2,0.1,0.0,LOW,0
house,0,262.3,2,rural,0,basic,0,4.7,86660,98,58,11.7,spring,1,0.1,0.144,LOW,0
landscaping,3,480.6,1,urban,2,basic,0,1.3,122615,32,30,1.5,spring,1,0.1,0.377,MEDIUM,1
house,0,460.3,3,suburban,1,standard,1,2.2,115449,104,45,6.3,summer,2,0.1,0.101,LOW,0
landscaping,3,257.4,2,suburban,1,basic,0,1.1,56141,105,5,12.7,spring,1,0.1,0.079,LOW,1
landscaping,3,102.7,1,suburban,1,premium,2,4.1,25787,79,27,5.6,winter,0,0.8,0.363,MEDIUM,1
landscaping,3,311.2,1,suburban,1,basic,0,2.0,164725,107,34,0.5,summer,2,0.1,0.404,MEDIUM,0
commercial,2,78.5,5,suburban,1,standard,1,1.4,183876,67,5,12.0,spring,1,0.1,0.048,LOW,0
landscaping,3,70.8,3,rural,0,standard,1,3.9,162279,93,6,11.0,autumn,3,0.3,0.107,LOW,1
landscaping,3,454.6,4,rural,0,standard,1,1.9,197595,115,18,10.2,summer,2,0.1,0.0,LOW,0
landscaping,3,499.7,2,urban,2,basic,0,3.3,183520,20,43,2.2,autumn,3,0.3,0.626,HIGH,1
renovation,1,120.5,2,urban,2,premium,2,2.7,160092,101,12,13.0,winter,0,0.8,0.199,LOW,0
landscaping,3,419.6,1,urban,2,premium,2,3.6,76116,114,111,2.2,winter,0,0.8,0.295,LOW,0
house,0,189.7,7,urban,2,standard,1,2.6,116623,119,12,8.3,spring,1,0.1,0.092,LOW,0
landscaping,3,274.5,5,rural,0,basic,0,3.5,50427,61,15,7.2,summer,2,0.1,0.158,LOW,0
landscaping,3,117.2,2,suburban,1,basic,0,4.8,160763,45,18,0.6,autumn,3,0.3,0.291,LOW,0
commercial,2,47.7,4,suburban,1,standard,1,3.5,175367,117,8,6.3,summer,2,0.1,0.0,LOW,0
landscaping,3,275.6,1,suburban,1,basic,0,2.0,26542,20,22,4.8,autumn,3,0.3,0.401,MEDIUM,1
house,0,306.9,1,urban,2,premium,2,4.6,13795,21,159,6.1,winter,0,0.8,1.0,HIGH,1
commercial,2,132.6,2,rural,0,premium,2,4.2,55502,76,53,14.7,winter,0,0.8,0.357,MEDIUM,1
house,0,454.8,2,rural,0,basic,0,1.7,198278,65,40,6.3,spring,1,0.1,0.078,LOW,0
house,0,420.4,6,urban,2,basic,0,1.9,39423,96,28,1.0,spring,1,0.1,0.401,MEDIUM,1
renovation,1,406.4,6,suburban,1,premium,2,4.9,177338,105,51,9.2,winter,0,0.8,0.285,LOW,0
renovation,1,272.2,2,suburban,1,premium,2,3.8,35010,38,45,7.2,summer,2,0.1,0.435,MEDIUM,1
commercial,2,46.4,4,rural,0,premium,2,3.3,22840,111,11,6.2,winter,0,0.8,0.135,LOW,0
renovation,1,50.9,2,suburban,1,basic,0,4.4,162856,46,5,14.0,winter,0,0.8,0.277,LOW,0
commercial,2,148.7,6,urban,2,premium,2,2.0,146067,96,13,8.2,autumn,3,0.3,0.172,LOW,0
landscaping,3,450.4,5,urban,2,basic,0,4.4,101554,102,22,8.0,winter,0,0.8,0.311,LOW,0
renovation,1,341.2,3,rural,0,premium,2,4.5,148112,94,63,12.1,summer,2,0.1,0.242,LOW,1
house,0,437.6,1,urban,2,basic,0,2.3,51545,59,61,10.4,summer,2,0.1,0.134,LOW,0
landscaping,3,104.5,3,urban,2,standard,1,4.8,95767,37,9,12.5,winter,0,0.8,0.156,LOW,0
commercial,2,379.4,7,rural,0,standard,1,1.0,113455,83,16,7.9,autumn,3,0.3,0.0,LOW,0
house,0,320.0,1,suburban,1,standard,1,3.2,27590,104,87,9.7,autumn,3,0.3,0.438,MEDIUM,1
renovation,1,80.3,6,suburban,1,basic,0,1.1,89287,104,5,5.5,summer,2,0.1,0.037,LOW,1
landscaping,3,78.2,4,suburban,1,standard,1,1.7,155317,74,5,4.9,summer,2,0.1,0.152,LOW,0
commercial,2,303.6,1,rural,0,basic,0,1.2,19565,88,37,13.1,summer,2,0.1,0.305,LOW,1
landscaping,3,382.3,3,rural,0,standard,1,3.4,79804,35,50,0.8,autumn,3,0.3,0.445,MEDIUM,1
commercial,2,392.1,2,rural,0,standard,1,1.0,35993,104,29,15.0,summer,2,0.1,0.0,LOW,0
renovation,1,106.9,7,suburban,1,basic,0,4.3,63183,38,10,1.7,summer,2,0.1,0.446,MEDIUM,1
commercial,2,158.4,1,suburban,1,standard,1,4.9,11104,99,80,14.2,summer,2,0.1,0.494,MEDIUM,1
house,0,216.9,1,urban,2,basic,0,2.8,65831,64,36,13.5,winter,0,0.8,0.126,LOW,0
renovation,1,44.6,1,urban,2,standard,1,3.9,114736,114,8,7.4,autumn,3,0.3,0.274,LOW,0
renovation,1,438.3,5,urban,2,standard,1,1.6,93470,56,13,11.5,autumn,3,0.3,0.055,LOW,0
landscaping,3,45.3,4,rural,0,basic,0,4.9,41164,21,5,7.5,summer,2,0.1,0.083,LOW,0
renovation,1,352.2,4,suburban,1,premium,2,3.2,48980,66,54,1.4,spring,1,0.1,0.326,LOW,0
commercial,2,404.9,3,urban,2,premium,2,4.9,34168,27,183,1.6,summer,2,0.1,1.0,HIGH,1
landscaping,3,255.6,7,urban,2,premium,2,3.9,133112,95,16,13.0,summer,2,0.1,0.216,LOW,0
landscaping,3,255.8,1,urban,2,premium,2,2.0,197399,38,40,0.8,summer,2,0.1,0.356,MEDIUM,0
commercial,2,192.6,2,urban,2,standard,1,2.3,105954,39,24,13.3,summer,2,0.1,0.0,LOW,1
commercial,2,198.2,7,suburban,1,basic,0,1.5,115670,52,8,10.6,winter,0,0.8,0.194,LOW,0
renovation,1,345.1,3,suburban,1,basic,0,1.5,179763,15,11,14.1,spring,1,0.1,0.0,LOW,0
renovation,1,363.3,2,rural,0,premium,2,3.5,157767,117,65,12.3,autumn,3,0.3,0.046,LOW,1
commercial,2,287.4,2,urban,2,premium,2,4.1,98776,47,124,2.9,summer,2,0.1,0.698,HIGH,1
house,0,370.7,4,rural,0,standard,1,2.0,36111,51,31,9.4,spring,1,0.1,0.076,LOW,0
commercial,2,379.8,5,rural,0,standard,1,4.2,133448,57,110,2.8,winter,0,0.8,0.634,HIGH,1
renovation,1,337.0,5,suburban,1,basic,0,5.0,195085,9,44,1.7,winter,0,0.8,0.811,HIGH,1
commercial,2,133.7,6,urban,2,basic,0,1.1,55248,82,5,3.0,autumn,3,0.3,0.222,LOW,0
house,0,427.7,5,rural,0,premium,2,2.4,77353,26,51,7.8,summer,2,0.1,0.469,MEDIUM,1
landscaping,3,306.4,2,suburban,1,standard,1,3.9,99900,72,29,9.2,summer,2,0.1,0.119,LOW,0
renovation,1,496.3,2,rural,0,standard,1,4.6,46079,115,93,7.3,autumn,3,0.3,0.497,MEDIUM,0
house,0,394.7,4,rural,0,standard,1,4.6,40038,50,89,5.9,autumn,3,0.3,0.833,HIGH,1
house,0,224.1,6,urban,2,premium,2,3.0,53210,66,25,6.4,winter,0,0.8,0.149,LOW,0
renovation,1,341.4,7,rural,0,premium,2,1.7,81261,34,21,4.2,summer,2,0.1,0.241,LOW,0
house,0,393.5,4,rural,0,basic,0,4.9,93489,17,64,13.3,autumn,3,0.3,0.568,MEDIUM,1
renovation,1,240.9,4,urban,2,standard,1,4.3,89023,26,21,9.0,autumn,3,0.3,0.27,LOW,0
landscaping,3,198.8,4,suburban,1,premium,2,1.1,148598,107,5,8.2,autumn,3,0.3,0.136,LOW,0
commercial,2,239.8,7,urban,2,premium,2,4.5,45139,67,72,1.0,winter,0,0.8,0.627,HIGH,1
house,0,87.8,5,rural,0,premium,2,4.7,12672,41,21,7.1,spring,1,0.1,0.397,MEDIUM,1
commercial,2,268.4,6,urban,2,basic,0,3.8,82489,94,27,10.4,spring,1,0.1,0.0,LOW,0
renovation,1,487.4,7,rural,0,premium,2,2.8,105541,56,48,5.5,winter,0,0.8,0.186,LOW,0
renovation,1,92.4,4,rural,0,standard,1,3.8,44361,14,9,14.6,autumn,3,0.3,0.0,LOW,0
landscaping,3,238.6,5,suburban,1,basic,0,4.9,54785,71,14,12.7,spring,1,0.1,0.249,LOW,0
commercial,2,263.7,1,urban,2,standard,1,4.3,173599,119,175,0.9,autumn,3,0.3,0.966,HIGH,1
house,0,354.1,1,urban,2,basic,0,3.4,188471,20,81,6.2,summer,2,0.1,0.59,MEDIUM,0
renovation,1,339.2,2,suburban,1,basic,0,3.4,67032,39,33,6.4,spring,1,0.1,0.134,LOW,0
renovation,1,296.5,1,suburban,1,basic,0,1.4,131850,108,23,5.2,winter,0,0.8,0.214,LOW,1
house,0,388.3,1,rural,0,standard,1,2.3,174436,7,133,2.2,summer,2,0.1,0.619,HIGH,1
landscaping,3,32.7,7,rural,0,standard,1,3.5,123917,21,5,10.6,summer,2,0.1,0.088,LOW,0
landscaping,3,141.6,1,suburban,1,premium,2,2.8,7860,17,21,9.3,autumn,3,0.3,0.664,HIGH,1
landscaping,3,321.2,6,rural,0,premium,2,3.0,110761,78,22,8.0,winter,0,0.8,0.176,LOW,0
landscaping,3,190.4,4,urban,2,standard,1,1.6,107692,85,5,8.2,summer,2,0.1,0.032,LOW,0
house,0,412.1,2,rural,0,basic,0,3.9,106641,27,105,3.3,winter,0,0.8,0.532,MEDIUM,1
commercial,2,452.1,1,urban,2,basic,0,3.6,79115,74,123,14.0,spring,1,0.1,0.53,MEDIUM,0
landscaping,3,258.4,5,urban,2,premium,2,2.1,64922,117,10,8.2,autumn,3,0.3,0.096,LOW,0
commercial,2,367.3,2,rural,0,premium,2,2.1,85642,95,74,8.1,autumn,3,0.3,0.005,LOW,1
landscaping,3,405.9,7,rural,0,standard,1,3.8,25841,48,37,3.2,summer,2,0.1,0.544,MEDIUM,1
landscaping,3,70.9,6,suburban,1,standard,1,3.2,13465,112,5,2.1,winter,0,0.8,0.131,LOW,0
renovation,1,272.1,4,suburban,1,standard,1,1.9,46349,16,17,3.0,autumn,3,0.3,0.102,LOW,1
commercial,2,391.9,1,urban,2,standard,1,1.9,157202,56,72,11.1,winter,0,0.8,0.45,MEDIUM,1
landscaping,3,410.5,3,rural,0,standard,1,3.5,93095,75,49,2.9,summer,2,0.1,0.207,LOW,1
commercial,2,131.9,1,rural,0,standard,1,1.7,65893,41,28,9.3,winter,0,0.8,0.189,LOW,0
landscaping,3,213.7,5,suburban,1,basic,0,1.2,32646,70,5,2.5,spring,1,0.1,0.149,LOW,0
commercial,2,231.3,7,urban,2,standard,1,3.9,8085,30,43,2.4,autumn,3,0.3,0.801,HIGH,1
house,0,370.4,2,rural,0,standard,1,4.6,155661,42,157,1.7,spring,1,0.1,0.839,HIGH,1
commercial,2,120.2,1,suburban,1,premium,2,1.9,74224,74,33,6.9,autumn,3,0.3,0.246,LOW,0
house,0,62.9,5,rural,0,premium,2,2.1,120598,73,6,8.2,spring,1,0.1,0.025,LOW,0
renovation,1,344.7,7,suburban,1,premium,2,2.5,75774,41,21,11.1,winter,0,0.8,0.173,LOW,0
landscaping,3,294.3,4,rural,0,basic,0,4.8,128817,53,33,3.4,winter,0,0.8,0.337,LOW,0
landscaping,3,241.7,4,rural,0,premium,2,2.4,134658,90,16,7.4,spring,1,0.1,0.037,LOW,0
landscaping,3,487.9,6,urban,2,standard,1,5.0,185765,114,43,4.0,summer,2,0.1,0.294,LOW,0
landscaping,3,150.8,7,suburban,1,standard,1,4.5,123655,82,9,11.8,spring,1,0.1,0.252,LOW,0
landscaping,3,172.5,2,urban,2,basic,0,2.4,79277,8,7,14.1,autumn,3,0.3,0.041,LOW,0
renovation,1,216.6,7,urban,2,premium,2,4.8,175301,12,22,13.8,spring,1,0.1,0.659,HIGH,1
house,0,496.3,5,suburban,1,standard,1,2.6,102725,55,61,2.2,summer,2,0.1,0.173,LOW,0
commercial,2,442.6,6,rural,0,standard,1,3.9,32549,13,96,4.9,summer,2,0.1,0.726,HIGH,1
landscaping,3,219.4,2,rural,0,standard,1,1.6,48605,84,10,14.6,autumn,3,0.3,0.058,LOW,1
